city, pop_tot , pop_fb ,pop_fb_share,natrate,lsnblaborforceparticrate,lsfblaborforceparticrate,hsnblaborforceparticrate,hsfblaborforceparticrate,lsnbemplrate,lsfbemplrate,hsnbemplrate,hsfbemplrate,lsnbhighprestigerate,lsfbhighprestigerate,hsnbhighprestigerate,hsfbhighprestigerate,lsnbparttimerate,lsfbparttimerate,hsnbparttimerate,hsfbparttimerate,nbentrepreneurshiprate,fbentrepreneurshiprate,lsnbpovertyrate,lsfbpovertyrate,hsnbpovertyrate,hsfbpovertyrate,lsnbtrirecipient,lsfbtrirecipient,hsnbtrirecipient,hsfbtrirecipient,lsnbfoodstamprecipient,lsfbfoodstamprecipient,hsnbfoodstamprecipient,hsfbfoodstamprecipient,nbownershiprate,fbownershiprate,nboverburdenrate,fboverburdenrate,nbovercrowdedrate,fbovercrowdedrate,nbhealthinsu,fbhealthinsu,nbhs,fbhs,nbba,fbba,nbadv,fbadv,nbpubsoc,fbpubsoc,nbmilitaryvet,fbmilitaryvet, lsnbmediantotinc , lsfbmediantotinc , hsnbmediantotinc , hsfbmediantotinc , nbmedianbusinessincome , fbmedianbusinessincome , overall_score , overall_ranking , policy_score ,gov_leadership,econ_empower,Inclusivity,Community,legal_support,emergency_management,se_score,job_opps,econ_prosperity,Livability,civic_particip
"Raleigh city, NC",469542,59233,0.13,0.74,0.58,0.72,0.81,0.76,0.93,0.95,0.98,0.98,0.06,0.03,0.26,0.31,0.27,0.2,0.13,0.17,0.08,0.09,0.15,0.25,0.04,0.11,0.24,0.12,0.02,0.03,0.13,0.14,0.02,0.03,0.56,0.45,0.35,0.4,0,0.02,0.92,0.69,0.95,0.75,0.53,0.44,0.18,0.21,0.07,0.03,0.08,0.02,16687,18733,53400,40725,31961,25899,2.33,87,2.17,3,1,1,3,2,3,2.5,3,3,1,3
"Reno city, NV",243053,36412,0.15,0.73,0.64,0.74,0.71,0.76,0.93,0.95,0.98,0.98,0.04,0.01,0.29,0.23,0.28,0.18,0.17,0.16,0.09,0.06,0.17,0.14,0.05,0.08,0.26,0.12,0.05,0.05,0.15,0.16,0.03,0.09,0.51,0.44,0.4,0.37,0.02,0.04,0.93,0.77,0.94,0.69,0.36,0.25,0.14,0.1,0.06,0.02,0.11,0.03,21201,22399,52147,40000,30176,22500,2.67,66,2.33,2,4,3,1,3,1,3,2,3,4,3
"Richmond city, VA",226352,16049,0.07,0.75,0.56,0.7,0.82,0.72,0.9,0.96,0.98,0.95,0.03,0.01,0.25,0.31,0.3,0.25,0.13,0.17,0.06,0.07,0.3,0.24,0.06,0.18,0.34,0.1,0.03,0.03,0.22,0.16,0.02,0.05,0.44,0.33,0.42,0.37,0.01,0.03,0.91,0.53,0.88,0.61,0.4,0.28,0.16,0.17,0.08,0.03,0.08,0.02,14000,15272,50906,49000,20000,18773,3.38,31,4,5,4,4,3,3,5,2.75,1,5,2,3
"Riverside city, CA",327680,74150,0.23,0.72,0.6,0.61,0.75,0.71,0.92,0.95,0.95,0.98,0.04,0.02,0.27,0.32,0.28,0.16,0.18,0.17,0.07,0.1,0.15,0.16,0.05,0.07,0.39,0.3,0.09,0.13,0.12,0.16,0.04,0.04,0.54,0.53,0.48,0.51,0.02,0.05,0.94,0.8,0.9,0.6,0.25,0.18,0.1,0.07,0.06,0.03,0.07,0.02,15448,18326,53268,41549,31288,22945,2.96,50,2.67,1,3,4,3,3,2,3.25,4,3,3,3
"Sacramento city, CA",502517,111593,0.22,0.75,0.58,0.59,0.78,0.73,0.9,0.94,0.97,0.95,0.06,0.03,0.29,0.32,0.27,0.25,0.15,0.14,0.08,0.11,0.18,0.22,0.05,0.09,0.42,0.42,0.08,0.15,0.15,0.19,0.03,0.06,0.49,0.5,0.43,0.48,0.01,0.04,0.96,0.87,0.92,0.7,0.36,0.24,0.13,0.08,0.15,0.08,0.09,0.02,17715,14915,60490,43803,24000,25453,3.29,33,3.83,2,4,4,4,5,4,2.75,3,2,3,3
"San Antonio city, TX",1484014,204742,0.14,0.69,0.61,0.61,0.76,0.74,0.94,0.96,0.97,0.97,0.04,0.02,0.28,0.26,0.23,0.18,0.12,0.12,0.06,0.13,0.19,0.22,0.05,0.09,0.28,0.13,0.04,0.04,0.18,0.2,0.03,0.05,0.55,0.53,0.39,0.39,0.01,0.02,0.86,0.67,0.87,0.6,0.27,0.22,0.1,0.09,0.06,0.02,0.13,0.03,16187,15980,52203,38688,23740,20362,3.5,23,4,5,3,3,5,3,5,3,3,3,3,3
"San Bernardino city, CA",216811,50717,0.23,0.61,0.57,0.61,0.72,0.7,0.87,0.93,0.96,0.94,0.02,0.01,0.25,0.2,0.28,0.18,0.2,0.23,0.05,0.1,0.26,0.25,0.06,0.16,0.56,0.37,0.14,0.17,0.24,0.28,0.11,0.07,0.48,0.53,0.54,0.51,0.03,0.08,0.92,0.71,0.82,0.47,0.14,0.08,0.04,0.03,0.08,0.03,0.07,0.01,11889,15272,45322,21582,26272,17626,2.92,54,2.83,1,3,4,2,3,4,3,5,3,3,1
"San Diego city, CA",1403977,356074,0.25,0.76,0.63,0.6,0.78,0.74,0.92,0.94,0.97,0.96,0.06,0.03,0.3,0.4,0.28,0.26,0.17,0.15,0.11,0.14,0.15,0.2,0.05,0.09,0.3,0.31,0.07,0.09,0.08,0.15,0.02,0.02,0.47,0.44,0.47,0.56,0.02,0.05,0.94,0.86,0.95,0.73,0.49,0.37,0.19,0.17,0.07,0.04,0.14,0.04,18400,15341,61846,50000,30107,20362,3.13,43,3.5,3,4,5,3,5,1,2.75,2,1,3,5
"San Francisco city, CA",874787,299854,0.34,0.82,0.58,0.55,0.85,0.77,0.92,0.95,0.97,0.97,0.04,0.03,0.26,0.31,0.32,0.28,0.12,0.12,0.11,0.11,0.16,0.14,0.05,0.08,0.35,0.38,0.05,0.1,0.11,0.11,0.02,0.03,0.35,0.4,0.29,0.39,0.02,0.08,0.97,0.95,0.97,0.76,0.69,0.42,0.26,0.18,0.05,0.04,0.05,0.02,18021,18053,86328,71268,38353,25453,4,10,5,5,5,5,5,5,5,3,1,2,4,5
"San Jose city, CA",1019911,397097,0.39,0.78,0.6,0.63,0.8,0.77,0.94,0.96,0.96,0.96,0.05,0.04,0.29,0.37,0.31,0.23,0.14,0.11,0.08,0.09,0.1,0.12,0.03,0.04,0.33,0.33,0.06,0.08,0.09,0.13,0.01,0.02,0.59,0.56,0.46,0.49,0.02,0.05,0.96,0.92,0.92,0.78,0.44,0.43,0.15,0.19,0.05,0.02,0.06,0.01,18326,19800,74458,74576,32373,24435,4.25,5,5,5,5,5,5,5,5,3.5,4,3,4,3
